,row_close,levelCounter,trial_set,row_start,time_secs,ptcp,feedbackType,correctCounter,Change Flag
1301,47528,15.0,1,46947.0,4.368421052631579,tsvr15,congruent,13.0,47528
1302,49831,16.0,1,49308.0,3.9323308270676693,tsvr15,congruent,14.0,49831
1303,52453,17.0,1,51930.0,3.9323308270676693,tsvr15,incongruent,15.0,52453
1304,57249,18.0,1,54095.0,23.714285714285715,tsvr15,congruent,16.0,57249
1305,59800,19.0,1,59295.0,3.7969924812030076,tsvr15,none,17.0,59800
1306,62193,20.0,1,61636.0,4.18796992481203,tsvr15,none,18.0,62193
1307,64634,21.0,1,64109.0,3.9473684210526314,tsvr15,none,19.0,64634
1308,66947,22.0,1,66413.0,4.015037593984962,tsvr15,none,20.0,66947
1309,69294,23.0,1,68796.0,3.744360902255639,tsvr15,none,21.0,69294
1310,71429,24.0,1,70906.0,3.9323308270676693,tsvr15,congruent,22.0,71429
1311,76251,25.0,1,73107.0,23.639097744360903,tsvr15,incongruent,23.0,76251
1312,78579,26.0,1,78050.0,3.9774436090225564,tsvr15,congruent,24.0,78579
1313,81171,27.0,1,80701.0,3.5338345864661656,tsvr15,congruent,25.0,81171
